,source,target,junction,length,maxspeed,access,name,width,lanes,oneway,bridge,osmid,geometry,tunnel,ref,highway
2770,44814377,1391417164,,238.03300000000002,30,,Kluizenaarsbocht,,,False,,"[7541724, 7541735]","LINESTRING (4.3459459 52.0039232, 4.3456331 52.0037972, 4.3456081 52.0037872, 4.3453325 52.0036762, 4.3450185 52.0035497, 4.3447565 52.0034442, 4.3439624 52.0031244, 4.3438702 52.0031136, 4.3432843 52.0036225)",,,residential
2771,44814382,44815349,,58.314,30,,Saaiwerkerstraat,,,False,,7541771,,,,residential
2772,44814382,44813588,,58.141999999999996,30,,Saaiwerkerstraat,,,False,,7541771,"LINESTRING (4.349587 52.003913, 4.3491973 52.0037458, 4.3488902 52.003614)",,,residential
2773,44814382,44812291,,101.719,30,,Kaarderstraat,,,False,,7541855,"LINESTRING (4.349587 52.003913, 4.3497112 52.0038088, 4.3498088 52.0037246, 4.3498775 52.0036678, 4.3504659 52.0031754)",,,residential
2774,44814383,44816467,,58.561,15,,Van Saenredamstraat,,,False,,7541750,,,,living_street
2775,44814383,44817446,,121.446,30,,Frank van Borselenstraat,,,True,,49600167,"LINESTRING (4.3522139 52.0039774, 4.352457 52.0040803, 4.3528858 52.0042618, 4.3534297 52.004492, 4.3536737 52.0045981)",,,residential
2776,44814384,4349049085,,183.313,30,,Jacoba van Beierenlaan,,,False,,7539159,"LINESTRING (4.3543402 52.0040068, 4.3540881 52.0038994, 4.3535509 52.0036686, 4.3534997 52.0036474, 4.353132 52.0034759, 4.3527329 52.003305, 4.3526425 52.0032663, 4.3525667 52.0032348, 4.352223 52.003092, 4.3521479 52.0030605)",,,residential
2777,44814384,44817446,,80.02799999999999,30,,Van Bleyswijckstraat,,,False,,324544971,"LINESTRING (4.3543402 52.0040068, 4.3541582 52.0041674, 4.3536737 52.0045981)",,,residential
2778,44814384,3420136000,,105.916,30,,Van Bleyswijckstraat,,,False,,324544971,"LINESTRING (4.3543402 52.0040068, 4.3548378 52.0035768, 4.3548812 52.0035361, 4.3552272 52.0032264)",,,residential
2779,44814384,3581094279,,67.645,30,,Graaf Floriskade,,,False,,490714431,"LINESTRING (4.3543402 52.0040068, 4.3545859 52.0041129, 4.3551531 52.0043527)",,,residential
2780,1552650288,1552650550,,56.995000000000005,15,,Moutmolen,,,False,,141845788,"LINESTRING (4.3399561 51.9992569, 4.3397942 51.9994884, 4.3396292 51.9997283)",,,living_street
2781,44814387,1391531584,,27.891,30,,Plein Delftzicht,,,False,,125227136,,,,residential
2782,44814387,44812870,,65.71,30,,Zuideinde,,,False,,541407047,,,,residential
2783,44814387,1391531638,,101.99100000000001,30,,Zuideinde,,,False,,125227155,"LINESTRING (4.3617733 52.0038708, 4.3615158 52.0043424, 4.3614681 52.0044032, 4.3613734 52.0044862, 4.3612907 52.0045199, 4.3611303 52.0045484, 4.3609929 52.0045684)",,,residential
2784,44814389,1569647751,,73.498,30,,Agatha van Leidenlaan,,,False,,143448505,,,,residential
