,repl,p,day,mean,std
505,1,0.7,5,3.9981036662452594,3.4121460450781718
506,1,0.7,6,4.029699842022117,3.4274680687744374
507,1,0.7,7,4.04358812381554,3.43304197473445
508,1,0.7,8,4.056204610041048,3.4436165769892915
509,1,0.7,9,4.061256709820019,3.4452727094408435
510,1,0.7,10,4.065677297126618,3.4489480906266974
511,1,0.7,11,4.066287878787879,3.449307190791968
512,1,0.7,12,4.0688131313131315,3.4507221018383216
513,1,0.7,13,4.067507886435331,3.451395979927035
514,1,0.7,14,4.067507886435331,3.451395979927035
515,1,0.7,15,4.068769716088328,3.4527422298246684
516,1,0.7,16,4.068769716088328,3.4527422298246684
517,1,0.7,17,4.069400630914826,3.4533692970486487
518,1,0.7,18,4.069400630914826,3.4533692970486487
519,1,0.7,19,4.069400630914826,3.4533692970486487
520,1,0.7,20,4.069400630914826,3.4533692970486487
521,1,0.7,21,4.069400630914826,3.4533692970486487
522,1,0.7,22,4.069400630914826,3.4533692970486487
523,1,0.7,23,4.069400630914826,3.4533692970486487
524,1,0.7,24,4.069400630914826,3.4533692970486487
